new_name,name,category
Vitamin A,Vitamin A,vitamins
Vitamin B-12,cobalamin,vitamins
Vitamin B-9,Folate,vitamins
Vitamin B-6,Pyridoxine,vitamins
Vitamin C,ascorbic acid,vitamins
Vitamin D ,Vitamin D ,vitamins
Vitamin E,Vitamin E,vitamins
Vitamin K ,Vitamin K,vitamins
Choline,Choline,vitamins
Vitamin B-5,Pantothenic acid,vitamins
Vitamin B-1,Thiamin,vitamins
Vitamin B-2,Riboflavin,vitamins
Vitamin B-3,Niacin,vitamins
Vitamin B-7,Biotin,vitamins
Sodium,Sodium,minerals
Calcium,Calcium,minerals
Potassium,Potassium,minerals
Phosphorous,Phosphorous,minerals
Magnesium,Magnesium,minerals
Zinc,Zinc,minerals
Copper,Copper,minerals
Manganese,Manganese,minerals
Selenium,Selenium,minerals
Iodine,Iodine,minerals
Flouride,Flouride,minerals
Chlorine,Chlorine,minerals
Molybdenum,Molybdenum,minerals
Chromium,Chromium,minerals
Iron,Iron,minerals
Fat,Total Fat,macros
Carbohydrate,Total Carbohydrate,macros
Sugar,Total Sugar,macros
Protein,Total Protein,macros
Calories,Calories,macros
Fiber,Dietary Fiber,macros
Cholesterol,Cholesterol,macros
Total Saturated Fatty Acids,saturated fat,macros
Total Trans Fatty Acids,trans fat,macros
